Name,Pos,Total,Url
Jorge & Mateus,155,"482,167,386",artist/1elUiq4X7pxej6FRlrEzjM.html
James Bay,156,"477,998,687",artist/4EzkuveR9pLvDVFNx6foYD.html
Francesco Yates,157,"473,156,267",artist/5X1JzPIIonP3u9lA580pPT.html
Disciples,158,"472,129,726",artist/5EehXjjMktLuJmbRsM7YfB.html
Matheus & Kauan,159,"464,148,310",artist/2Z0lRIqr997lIUiPtrpKCr.html
JAY Z,160,"464,118,404",artist/3nFkdlSjzX9mRTtwJOzDYB.html
Kiiara,161,"463,517,701",artist/4u5smJBskI6Adzv08PuiUP.html
Alesso,162,"463,435,569",artist/4AVFqumd2ogHFlRbKIjp1t.html
Mike Perry,163,"461,451,832",artist/6lB8vOoI4DRrrVxXwuV19c.html
Xxxtentacion,164,"452,671,551",artist/15UsOTVnJzReFVN1VCnxy4.html
Logic,165,"447,837,182",artist/4xRYI6VqpkE3UwrDrAZL8L.html
Felix Jaehn,166,"446,972,020",artist/4bL2B6hmLlMWnUEZnorEtG.html
Beyoncé,167,"446,889,520",artist/6vWDO969PvNqNYHIOW5v0m.html
Conrad Sewell,168,"445,295,112",artist/1rw8ZTLnDHd74TWDDukjVi.html
Vance Joy,169,"444,690,130",artist/10exVja0key0uqUkk6LJRT.html
Jessie J,170,"443,600,835",artist/2gsggkzM5R49q6jpPvazou.html
Raye,171,"443,374,057",artist/5KKpBU5eC2tJDzf0wmlRp2.html
Jasmine Thompson,172,"440,283,584",artist/2TL8gYTNgD6nXkyuUdDrMg.html
John Newman,173,"432,858,535",artist/34v5MVKeQnIo0CWYMbbrPf.html
Julia Michaels,174,"427,510,851",artist/0ZED1XzwlLHW4ZaG4lOT6m.html
Kungs,175,"426,888,453",artist/7keGfmQR4X5w0two1xKZ7d.html
D.R.A.M.,176,"425,256,096",artist/5M0lbkGluOPXLeFjApw8r8.html
Nico & Vinz,177,"424,821,087",artist/0awl5piYwO0CDTHEkCjUhn.html
Martin Jensen,178,"423,792,552",artist/4ehtJnVumNf6xzSCDk8aLB.html
Axwell /\ Ingrosso,179,"422,509,558",artist/2XnBwblw31dfGnspMIwgWz.html
Henrique & Juliano,180,"422,253,359",artist/3p7PcrEHaaKLJnPUGOtRlT.html
Ke$ha,181,"419,675,337",artist/6LqNN22kT3074XbTVUrhzX.html
BonezMC,182,"419,120,809",artist/1aS5tqEs9ci5P9KD9tZWa6.html
Bastille,183,"415,816,040",artist/7EQ0qTo7fWT7DPxmxtSYEc.html
Lady Gaga,184,"414,504,588",artist/1HY2Jd0NmPuamShAr6KMms.html
Liam Payne,185,"411,129,270",artist/5pUo3fmmHT8bhCyHE52hA6.html
Sage The Gemini,186,"409,610,052",artist/6d47Z08T4snK50HgTEHo5Z.html
Maty Noyes,187,"408,297,342",artist/5JSXWmQO8csVUy6hSRu8TA.html
Cookin' On 3 Burners,188,"406,942,917",artist/726MxZBpkxnnoKl6aN7mmj.html
MNEK,189,"406,783,344",artist/7uMh23xWiuR7zsNkuNcm2G.html
Willy William,190,"403,203,667",artist/4RSyJzf7ef6Iu2rnLdabNq.html
Childish Gambino,191,"401,681,442",artist/73sIBHcqh3Z3NyqHKZ7FOL.html
Robin Thicke,192,"400,272,997",artist/0ZrpamOxcZybMHGg1AYtHP.html
Carlos Vives,193,"400,030,317",artist/4vhNDa5ycK0ST968ek7kRr.html
Shy Martin,194,"398,189,922",artist/7eCmccnRwPmRnWPw61x6jM.html
Niall Horan,195,"395,807,698",artist/1Hsdzj7Dlq2I7tHP7501T4.html
Kris Kross Amsterdam,196,"394,126,533",artist/4LcUpNlXFEleaLlelmkv2R.html
Juan Magán,197,"392,370,810",artist/1ackd5XprZEkH3McKbQD51.html
Sigala,198,"391,056,960",artist/1IueXOQyABrMOprrzwQJWN.html
Sam Hunt,199,"390,236,069",artist/2kucQ9jQwuD8jWdtR9Ef38.html
Metro Boomin,200,"388,702,964",artist/0iEtIxbK0KxaSlF7G42ZOp.html
Louis Tomlinson,201,"387,962,720",artist/57WHJIHrjOE3iAxpihhMnp.html
Ricky Martin,202,"380,363,486",artist/7slfeZO9LsJbWgpkIoXBUJ.html
Marília Mendonça,203,"380,060,477",artist/1yR65psqiazQpeM79CcGh8.html
Mr. Probz,204,"378,707,666",artist/33W1pnW9zScZtYTnAoWnOT.html
Anitta,205,"378,304,652",artist/7FNnA9vBm6EKceENgCGRMb.html
Danny Ocean,206,"372,630,781",artist/5H1nN1SzW0qNeUEZvuXjAj.html
Jax Jones,207,"372,617,892",artist/4Q6nIcaBED8qUel8bBx6Cr.html
R. City,208,"371,776,827",artist/4TH4BHy0LdBi3dpBW4P2UX.html
Logic,209,"366,093,396",artist/6rpTmAVssi39dK1wX5ncZT.html
Snakehips,210,"362,758,826",artist/2FwJwEswyIUAljqgjNSHgP.html
