,Country,Happiness score,Whisker-high,Whisker-low,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (1.85) + residual,Explained constant
100,South Africa,4.828999996185303,4.929435187727213,4.728564804643392,1.0546987056732178,1.3847886323928833,0.18708007037639618,0.47924673557281494,0.1393623799085617,0.07250949740409851,1.510908603668213,1
101,Tunisia,4.804999828338623,4.884367007017135,4.725632649660111,1.0072658061981201,0.8683514595031738,0.6132120490074158,0.28968068957328796,0.049693357199430466,0.08672314882278442,1.8902511596679688,1
102,Palestinian Territories,4.775000095367432,4.881848342567682,4.668151848167181,0.7162492275238037,1.1556471586227417,0.5656669735908508,0.2547110617160797,0.11417317390441895,0.08928260207176208,1.8788902759552002,1
103,Egypt,4.735000133514404,4.825133789628744,4.644866477400065,0.9897018074989319,0.9974713921546936,0.520187258720398,0.28211015462875366,0.12863144278526306,0.11438136547803879,1.7021610736846924,1
104,Bulgaria,4.714000225067139,4.80369470641017,4.624305743724108,1.1614590883255005,1.4343794584274292,0.7082176804542542,0.28923171758651733,0.11317769438028336,0.011051530949771404,0.9961392879486084,1
105,Sierra Leone,4.709000110626221,4.850643334984779,4.567356886267662,0.36842092871665955,0.9841360449790955,0.005564753897488117,0.3186976909637451,0.2930409014225006,0.07109517604112625,2.668459892272949,1
106,Cameroon,4.695000171661377,4.796540857255459,4.593459486067295,0.5643053650856018,0.9460182189941406,0.13289211690425873,0.43038874864578247,0.23629845678806305,0.05130663141608238,2.3336455821990967,1
107,Iran,4.691999912261963,4.798224707692862,4.585775116831064,1.156873106956482,0.7115512490272522,0.639333188533783,0.24932260811328888,0.3872429132461548,0.048761073499917984,1.498734951019287,1
108,Albania,4.644000053405762,4.752464006394148,4.535536100417375,0.9961927533149719,0.8036852478981018,0.7311597466468811,0.38149863481521606,0.20131294429302216,0.03986421599984169,1.4904415607452393,1
109,Bangladesh,4.607999801635742,4.689821658283472,4.526177944988012,0.5866829752922058,0.7351317405700684,0.5332410335540771,0.47835665941238403,0.17225535213947296,0.12371785938739777,1.978736162185669,1
